UPRIGHT,SPAN,GBHX 75 x 1.5,GBHX 85 x 1.5,GBHX 100 x 1.5,GBHX 110 x 1.5,GBHX 125 x 1.5,GBHX 135 x 1.5,GBHX 150 x 1.5,GBHX 175 x 1.5,HEM+ 70 x 1.2,HEM+ 70 x 1.4,HEM+ 85 x 1.2,HEM+ 85 x 1.4,HEM+ 105 x 1.2,HEM+ 105 x 1.4,HEM+ 115 x 1.2,HEM+ 115 x 1.4,HEM+ 125 x 1.2,HEM+ 125 x 1.4
GXL 90-1.6,1000,4000,4000,4000,4000,4000,4000,4000,4000,1813,2653,2405,3534,3197,4000,3711,4000,4000,4000
GXL 90-1.6,1050,4000,4000,4000,4000,4000,4000,4000,4000,1728,2539,2299,3379,3053,4000,3545,4000,3981,4000
GXL 90-1.6,1100,3925,4000,4000,4000,4000,4000,4000,4000,1648,2436,2204,3238,2922,4000,3395,4000,3810,4000
GXL 90-1.6,1150,3766,4000,4000,4000,4000,4000,4000,4000,1576,2342,2117,3109,2802,3979,3257,4000,3654,4000
GXL 90-1.6,1200,3620,4000,4000,4000,4000,4000,4000,4000,1509,2255,2030,2991,2692,3824,3131,4000,3510,4000
GXL 90-1.6,1250,3486,4000,4000,4000,4000,4000,4000,4000,1448,2176,1947,2882,2591,3681,3015,4000,3379,4000
GXL 90-1.6,1300,3362,4000,4000,4000,4000,4000,4000,4000,1391,2092,1870,2781,2498,3549,2908,4000,3257,4000
GXL 90-1.6,1350,3247,4000,4000,4000,4000,4000,4000,4000,1338,2015,1799,2688,2411,3427,2809,3924,3144,4000
GXL 90-1.6,1400,3140,3920,4000,4000,4000,4000,4000,4000,1289,1943,1733,2602,2331,3313,2716,3794,3040,4000
GXL 90-1.6,1450,3041,3797,4000,4000,4000,4000,4000,4000,1244,1876,1672,2521,2256,3207,2631,3673,2942,4000
GXL 90-1.6,1500,2948,3682,4000,4000,4000,4000,4000,4000,1201,1813,1614,2446,2181,3108,2550,3559,2851,4000
GXL 90-1.6,1550,2861,3575,4000,4000,4000,4000,4000,4000,1161,1755,1560,2376,2108,3016,2473,3453,2766,4000
GXL 90-1.6,1600,2780,3474,4000,4000,4000,4000,4000,4000,1123,1700,1510,2310,2039,2929,2394,3354,2686,3909
GXL 90-1.6,1650,2704,3379,3960,4000,4000,4000,4000,4000,1087,1634,1462,2243,1975,2848,2320,3260,2611,3799
GXL 90-1.6,1700,2632,3290,3853,4000,4000,4000,4000,4000,1054,1554,1417,2177,1914,2771,2250,3172,2534,3696
GXL 90-1.6,1750,2564,3206,3752,4000,4000,4000,4000,4000,1022,1480,1375,2114,1856,2699,2184,3089,2459,3599
GXL 90-1.6,1800,2490,3127,3657,4000,4000,4000,4000,4000,992,1411,1335,2056,1802,2630,2122,3011,2389,3507
GXL 90-1.6,1850,2373,3016,3567,4000,4000,4000,4000,4000,964,1348,1297,2000,1751,2566,2062,2937,2322,3420
GXL 90-1.6,1900,2265,2906,3482,3960,4000,4000,4000,4000,937,1289,1261,1947,1702,2505,2006,2867,2259,3337
GXL 90-1.6,1950,2164,2802,3401,3867,4000,4000,4000,4000,911,1234,1226,1898,1656,2446,1953,2800,2198,3259
GXL 90-1.6,2000,2070,2704,3324,3778,4000,4000,4000,4000,886,1182,1194,1850,1612,2391,1902,2737,2141,3185
GXL 90-1.6,2050,1982,2611,3250,3694,4000,4000,4000,4000,863,1134,1162,1778,1570,2338,1854,2676,2087,3114
GXL 90-1.6,2100,1900,2522,3181,3613,4000,4000,4000,4000,841,1089,1133,1706,1530,2281,1808,2619,2035,3047
GXL 90-1.6,2150,1824,2438,3114,3536,4000,4000,4000,4000,819,1047,1104,1638,1492,2228,1764,2564,1985,3047
GXL 90-1.6,2200,1751,2359,3051,3463,4000,4000,4000,4000,799,1007,1077,1574,1456,2176,1722,2512,1938,2921
GXL 90-1.6,2250,1684,2283,2990,3393,3939,4000,4000,4000,779,970,1051,1515,1421,2127,1682,2457,1893,2863
GXL 90-1.6,2300,1620,2211,2932,3326,3859,4000,4000,4000,761,935,1026,1458,1388,2080,1644,2404,1849,2806
GXL 90-1.6,2350,1560,2143,2876,3262,3783,4000,4000,4000,743,902,1002,1405,1356,2035,1607,2352,1808,2753
GXL 90-1.6,2400,1504,2078,2823,3200,3711,4000,4000,4000,725,871,979,1355,1325,1992,1572,2302,1768,2699
GXL 90-1.6,2450,1450,2016,2767,3141,3641,4000,4000,4000,708,841,957,1308,1296,1950,1538,2255,1730,2644
GXL 90-1.6,2500,1400,1957,2691,3084,3574,4000,4000,4000,686,813,936,1264,1267,1911,1505,2209,1693,2590
GXL 90-1.6,2550,1352,1900,2598,3026,3509,4000,4000,4000,664,787,916,1221,1240,1872,1474,2165,1658,2539
GXL 90-1.6,2600,1307,1846,2510,2967,3448,4000,4000,4000,643,761,896,1181,1214,1811,1443,2123,1624,2490
GXL 90-1.6,2650,1264,1795,2427,2911,3384,3934,4000,4000,623,738,877,1143,1189,1751,1414,2083,1591,2442
GXL 90-1.6,2700,1223,1746,2348,2856,3319,3858,4001,4000,604,715,859,1107,1164,1694,1386,2043,1559,2396
GXL 90-1.6,2750,1185,1699,2273,2803,3257,3784,4000,4000,585,693,841,1073,1141,1640,1359,2006,1529,2396
GXL 90-1.6,2800,1148,1654,2202,2753,3197,3713,4000,4000,568,673,824,1040,1118,1589,1333,1969,1499,2309
GXL 90-1.6,2850,1113,1610,2134,2703,3139,3645,4000,4000,552,653,807,1009,1096,1540,1308,1917,1471,2268
GXL 90-1.6,2900,1080,1569,2069,2656,3084,3579,3952,4000,536,635,791,979,1075,1493,1283,1859,1443,2228
GXL 90-1.6,2950,1048,1529,2008,2578,3030,3516,3882,4000,521,617,776,951,1055,1449,1259,1803,1417,2190
GXL 90-1.6,3000,1017,1491,1949,2502,2977,3454,3814,4000,506,600,761,924,1035,1407,1236,1751,1391,2142
GXL 90-1.6,3050,989,1455,1893,2429,2927,3394,3749,4000,493,583,746,898,1016,1366,1214,1700,1366,2080
GXL 90-1.6,3100,961,1415,1839,2360,2878,3337,3685,4000,480,568,725,874,997,1328,1193,1652,1342,2021
GXL 90-1.6,3150,934,1376,1788,2293,2830,3281,3624,4000,467,553,706,850,979,1291,1172,1606,1318,1964
GXL 90-1.6,3200,909,1339,1739,2230,2769,3226,3564,4000,455,539,687,828,962,1256,1152,1562,1296,1910
